Country,Country Code,Time,Time Code,Energy intensity,Renewable electricity share of total electricity output,Renewable energy share of TFEC,Total electricity output,Total final energy consumption (TFEC)
China,CHN,2000,YR2000,1023305051.00,1663949819.00,2973071484.00,1355738,30187188.73
China,CHN,2001,YR2001,9833583306.00,1895851917.00,2845581538.00,1480949,30940867.04
China,CHN,2002,YR2002,9621842057.00,176186279.00,2709820152.00,1654164,32272543.97
China,CHN,2003,YR2003,9994209983.00,1503704033.00,2394657959.00,1910755,35505254.39
China,CHN,2004,YR2004,1035599738.00,1622326642.00,2024947926.00,2203502,41469975.08
China,CHN,2005,YR2005,1028130878.00,1617502498.00,1820381865.00,2500466,45785223.21
China,CHN,2006,YR2006,9974489413.00,1559278342.00,1709461008.00,2865954,49175114.02
China,CHN,2007,YR2007,9446755652.00,1526334714.00,1534937114.00,3281790,52829271.79
China,CHN,2008,YR2008,8888790121.00,1773744406.00,1460199657.00,3467185,54691192.12
China,CHN,2009,YR2009,8693872841.00,178637982.00,1391196227.00,3715061,56930962.32
China,CHN,2010,YR2010,8679178537.00,1862282605.00,1288431031.00,4197204,61093297.29
China,CHN,2011,YR2011,8502319501.00,1676177043.00,1169579699.00,4704861,65459079.1
China,CHN,2012,YR2012,8190299441.00,1996624894.00,1196856703.00,4984731,67426526.34
China,CHN,2013,YR2013,7851333803.00,2029622738.00,118381669.00,5436567,69906541.02
China,CHN,2014,YR2014,7104220001.00,2260915378.00,1222382301.00,5665745,71536310.66
China,CHN,2015,YR2015,6690069702.00,2392681717.00,1241335257.00,5844158,73183146.53
China,CHN,2016,YR2016,..,..,..,..,..
Germany,DEU,2000,YR2000,4635294282.00,6198531223.00,370043759.00,572313,8.638.440.514
Germany,DEU,2001,YR2001,4694756909.00,6512444018.00,389967279.00,581886,8.812.552.193
Germany,DEU,2002,YR2002,4589391211.00,7642700282.00,4412636787.00,581954,8.671.255.271
Germany,DEU,2003,YR2003,459786268.00,7552977702.00,5058467425.00,603603,8.839.115.931
Germany,DEU,2004,YR2004,4576951194.00,9267474493.00,5825244433.00,611105,8.763.328.404
Germany,DEU,2005,YR2005,4511465998.00,1015021111.00,6764551009.00,615800,8.626.259.145
Germany,DEU,2006,YR2006,447122845.00,1132201311.00,7753224656.00,632732,8.820.320.967
Germany,DEU,2007,YR2007,4099191676.00,1393800806.00,9406587903.00,633663,8.247.962.045
Germany,DEU,2008,YR2008,4099406678.00,146992339.00,8592248257.00,634380,8.551.613.944
Germany,DEU,2009,YR2009,4068098366.00,1607855368.00,963006157.00,589966,8118725.87
Germany,DEU,2010,YR2010,4115335557.00,1672707367.00,1029351964.00,626583,8638160.04
Germany,DEU,2011,YR2011,3773036713.00,2038328272.00,1139435591.00,607228,8.211.583.065
Germany,DEU,2012,YR2012,3771810715.00,2300045854.00,1201513573.00,623718,8.300.447.226
Germany,DEU,2013,YR2013,3831755977.00,2407254975.00,1208907875.00,632945,8.524.131.747
Germany,DEU,2014,YR2014,3640399424.00,2613009657.00,1337887823.00,621938,8.130.876.006
Germany,DEU,2015,YR2015,3603094155.00,2923177012.00,142062527.00,640967,8.327.614.785
Germany,DEU,2016,YR2016,..,..,..,..,..
India,IND,2000,YR2000,6949594871.00,1359094803.00,5157934762.00,569688,12080447.48
India,IND,2001,YR2001,6724806376.00,1320704353.00,5178721923.00,588171,12162916.05
India,IND,2002,YR2002,6672001023.00,1205516116.00,5056944266.00,610502,12583836.53
India,IND,2003,YR2003,6333921729.00,1346942476.00,5084279906.00,650837,12722743.67
India,IND,2004,YR2004,6181107871.00,144825005.00,4972402461.00,683991,13273593.71
India,IND,2005,YR2005,5877519466.00,1661901808.00,4857530875.00,715656,13900527.19
India,IND,2006,YR2006,5661849048.00,1754042472.00,4744372171.00,773784,14552475.55
India,IND,2007,YR2007,5507649299.00,1786408569.00,4586780352.00,823563,15352261.19
India,IND,2008,YR2008,556214241.00,1650983374.00,4363288301.00,848355,16342885.25
India,IND,2009,YR2009,5646711932.00,1566005525.00,4077082759.00,917302,17750414.76
India,IND,2010,YR2010,5353179242.00,1604374444.00,3948150873.00,979416,18684425.28
India,IND,2011,YR2011,5232985711.00,1731696286.00,3893174021.00,1074536,19401668.04
India,IND,2012,YR2012,5199643316.00,1573297336.00,3839089015.00,1123049,19869435.09
India,IND,2013,YR2013,498862544.00,1734931383.00,3784984118.00,1193480,20586036.18
India,IND,2014,YR2014,4960149499.00,1625383982.00,3665183786.00,1287398,21562801.38
India,IND,2015,YR2015,4730910449.00,1534305035.00,3602122257.00,1383004,22241457.76
India,IND,2016,YR2016,..,..,..,..,..
United States,USA,2000,YR2000,7335371396.00,8205996942.00,5429623689.00,4025885,58330543.36
United States,USA,2001,YR2001,7128216809.00,6783992314.00,467857121.00,3838831,57219712.6
United States,USA,2002,YR2002,7082367871.00,8646361178.00,4840779184.00,4026399,57240371.73
United States,USA,2003,YR2003,6904967491.00,8889376121.00,5326282274.00,4054649,58069490.9
United States,USA,2004,YR2004,6790206059.00,8630185532.00,5477656518.00,4148080,58840911.06
United States,USA,2005,YR2005,660173784.00,8578465534.00,5841090873.00,4268887,58889188.25
United States,USA,2006,YR2006,6369407404.00,9244631183.00,6396513971.00,4275011,58707586.93
United States,USA,2007,YR2007,6367571447.00,8367763936.00,6304128198.00,4323915,59567475.18
United States,USA,2008,YR2008,622245169.00,9003541347.00,6845540835.00,4342980,58277353.04
United States,USA,2009,YR2009,6084563271.00,1029184507.00,7354404755.00,4165395,55341324.5
United States,USA,2010,YR2010,6072479221.00,1012035515.00,7505172055.00,4354363,57655200.55
United States,USA,2011,YR2011,590983675.00,1222571352.00,8164451646.00,4326635,57123701.65
United States,USA,2012,YR2012,5692995246.00,1200739706.00,8481450408.00,4270884,56628804.85
United States,USA,2013,YR2013,5676035631.00,1263791912.00,8713261573.00,4287114,57984073.56
United States,USA,2014,YR2014,5621145713.00,1295382709.00,8754308954.00,4319156,59116385.16
United States,USA,2015,YR2015,540839254.00,1322859321.00,8716935867.00,4297048,58483061.91
United States,USA,2016,YR2016,..,..,..,..,..
,,,,,,,,
,,,,,,,,
,,,,,,,,
Data from database: Sustainable Energy for All,,,,,,,,
Last Updated: 06/30/2018,,,,,,,,
