,Year,Country,Asset investment in renewables,Electricity Consumption,Electricity generation,Electricity generation from other,Electricity Production,Energy intensity-primary energy,Primary Energy-Consumption,Renewables-Consumption Prim Energy,Renewable Energy Solar (Installed capacity),Renewable Energy Wind  (Installed capacity),Renewable installed PV Power,Renewable installed Wind Power,Renewable share electricity output,Renewable share electricity production,Renewable share energy of TFEC,Total electricity output,Total final energy consumption (TFEC),Wind and solar share electricity production,Government R&D,Corporate R&D,Venture capital,Private equity expansion capital,Public markets,Asset finance,Asset Finance minus Re-invested equity,Small distributed capacity,Private equity buy-outs,Public markets investor exits,Corporate M&A,Project acquisition & refinancing,Total: M&A/ buy-outs etc.,Number of policies
0,2004,China,2.4,1859.0,2203.31,0.0,2204.0,10.35599738,66.54571613,0.057830427999999996,10.0,216.0,0.0,0.19600000000000006,16.22326642,16.22,20.24947926,2203502.0,41469975.08,0.07,0.076,0.076,0.016,0.012,0.012,1.284,1.28,0.32,0.032,0.016,0.08800000000000001,0.204,0.34,5.0
1,2004,Germany,8.9,538.0,617.4652,21.2268,617.0,4.576951193999999,14.33946814,0.39502394399999996,670.0,2038.0,0.6659999999999999,2.02,9.267474493,10.2,5.825244433,611105.0,8763328.404,4.56,0.114,0.114,0.024,0.018000000000000002,0.018000000000000002,1.926,1.92,0.48,0.048,0.024,0.132,0.306,0.51,5.0
2,2004,India,2.7,463.0,698.300975,0.0,684.0,6.181107871,15.6296614,0.084781101,1.2000000000000002,875.0,0.0,0.8900000000000001,14.4825005,14.48,49.72402461,683991.0,13273593.71,0.66,0.038,0.038,0.008,0.006,0.006,0.642,0.64,0.16,0.016,0.008,0.044000000000000004,0.102,0.17,5.0
3,2004,United States,4.8,3716.0,4231.682747,14.75084734,4175.0,6.790206059,96.39671419,1.152707468,38.0,461.0,0.10099999999999998,0.35100000000000003,8.630185532,9.22,5.477656518,4148080.0,58840911.06,0.75,0.532,0.532,0.11200000000000004,0.084,0.084,8.988000000000003,8.96,2.24,0.2240000000000001,0.11200000000000004,0.6160000000000001,1.4280000000000002,2.3800000000000003,6.0
4,2005,China,7.6999999999999975,2126.0,2500.26,0.0,2500.0,10.28130878,75.60172011,0.101235495,64.6,297.0,0.0,0.496,16.17502498,16.18,18.20381865,2500466.0,45785223.21,0.09,0.1,0.095,0.03,0.05,0.18000000000000002,2.5,2.49,0.505,0.18500000000000005,0.115,0.38,0.625,1.31,6.0
5,2005,Germany,10.6,539.0,622.575,24.1468,623.0,4.511465998,14.165917199999999,0.48722748,951.0,1829.0,0.933,1.7989999999999997,10.15021111,11.13,6.764551009,615800.0,8626259.145,5.1,0.12,0.114,0.036000000000000004,0.06,0.21600000000000005,3.0,2.9879999999999995,0.606,0.222,0.13799999999999998,0.456,0.75,1.5719999999999998,7.0
6,2005,India,2.8,489.0,704.5093182,0.0,716.0,5.877519466,16.56290826,0.098864125,-0.10000000000000052,1433.8999999999994,0.0,1.4299999999999995,16.61901808,16.62,48.57530875,715656.0,13900527.19,0.87,0.04,0.038,0.012,0.02,0.07200000000000001,1.0,0.996,0.20199999999999999,0.07400000000000001,0.046,0.152,0.25,0.524,6.0
7,2005,United States,9.2,3811.0,4322.786632,13.35915624,4294.0,6.60173784,96.43731384,1.241083165,79.0,2250.0,0.10299999999999998,2.4239999999999995,8.578465534,9.12,5.841090873,4268887.0,58889188.25,0.85,0.54,0.513,0.162,0.27,0.972,13.5,13.446,2.727,0.9990000000000001,0.621,2.052,3.375,7.074,7.0
8,2006,China,9.0,2446.0,2865.7259999999997,0.0,2866.0,9.974489412999999,82.8805339,0.14308933599999998,19.0,1010.0,0.08,1.3439999999999996,15.59278342,15.59,17.09461008,2865954.0,49175114.02,0.14,0.11,0.11,0.06,0.145,0.4450000000000001,3.96,3.85,0.45,0.09000000000000001,0.13,0.515,0.935,1.67,7.0
9,2006,Germany,11.1,544.0,639.5665,25.4006,639.0,4.47122845,14.51322843,0.612064345,843.0,2226.0,0.8460000000000001,2.193999999999999,11.32201311,12.26,7.753224656,632732.0,8820320.967,5.74,0.132,0.132,0.07200000000000001,0.174,0.534,4.752,4.62,0.54,0.108,0.156,0.618,1.122,2.004,7.0
10,2006,India,4.6,543.0,744.4262522999999,0.0,774.0,5.661849048,17.41017417,0.145510226,3.8,1881.1000000000006,0.0,1.84,17.54042472,17.54,47.44372171,773784.0,14552475.55,1.26,0.044000000000000004,0.044000000000000004,0.024,0.057999999999999996,0.17800000000000002,1.584,1.54,0.18,0.036000000000000004,0.052000000000000005,0.20600000000000002,0.374,0.6679999999999999,7.0
11,2006,United States,23.6,3818.0,4330.951641,13.52413552,4301.0,6.3694074039999995,95.65836227,1.468457098,105.0,2623.0,0.14500000000000002,2.4540000000000006,9.244631183,9.79,6.396513971,4275011.0,58707586.93,1.06,0.5940000000000001,0.5940000000000001,0.324,0.7829999999999999,2.4030000000000005,21.384000000000004,20.790000000000006,2.43,0.486,0.7020000000000001,2.7810000000000006,5.049,9.018,10.0
12,2007,China,13.6,2817.0,3281.553,0.0,3282.0,9.446755652,90.08781938,0.196720162,38.80000000000001,2130.0,0.020000000000000004,3.3020000000000014,15.26334714,15.26,15.34937114,3281790.0,52829271.79,0.18,0.162,0.13799999999999998,0.126,0.21,1.182,6.377999999999999,6.192,0.8340000000000001,0.198,0.23399999999999999,1.188,1.7939999999999998,3.4139999999999997,8.0
13,2007,Germany,14.7,545.0,640.578,26.5586,641.0,4.099191676,13.89002168,0.7729506759999999,1271.0,1642.0,1.2770000000000001,1.625,13.93800806,14.87,9.406587903,633663.0,8247962.045,7.05,0.162,0.13799999999999998,0.126,0.21,1.182,6.377999999999999,6.192,0.8340000000000001,0.198,0.23399999999999999,1.188,1.7939999999999998,3.4139999999999997,8.0
14,2007,India,5.4,588.0,796.265175,0.0,824.0,5.507649299,18.92910864,0.184961844,-2.0,1529.5,0.0,1.5750000000000002,17.86408569,17.86,45.86780352,823563.0,15352261.19,1.44,0.054000000000000006,0.046,0.042,0.07,0.394,2.126,2.064,0.278,0.066,0.078,0.396,0.598,1.138,8.0
15,2007,United States,26.2,3922.0,4431.837021,12.7020304,4350.0,6.367571447,96.99645751,1.6794945419999998,160.0,5186.0,0.207,5.061000000000002,8.367763936000001,8.91,6.304128198,4323915.0,59567475.18,1.25,0.675,0.575,0.525,0.875,4.925,26.575,25.8,3.475,0.825,0.975,4.95,7.475,14.225,8.0
16,2008,China,22.5,2989.0,3495.76,0.0,3467.0,8.888790121,93.44496937,0.326148086,54.0,4187.728000000001,0.04000000000000002,6.3039999999999985,17.73744406,17.74,14.60199657,3467185.0,54691192.12,0.44,0.196,0.231,0.231,0.4690000000000001,0.7350000000000001,9.345,9.037,1.554,0.35700000000000004,0.06300000000000001,1.155,2.506,4.081,9.0
17,2008,Germany,16.7,543.0,640.686,24.7124,640.0,4.099406678,14.02825473,0.80695724,1950.0,678.0,1.9579999999999995,1.6549999999999976,14.699233900000001,15.5,8.592248257,634380.0,8551613.944,7.37,0.16799999999999998,0.198,0.198,0.402,0.63,8.01,7.745999999999999,1.3319999999999999,0.306,0.054000000000000006,0.99,2.148,3.498,9.0
18,2008,India,5.199999999999998,619.0,828.4135525,0.0,848.0,5.56214241,20.00481722,0.228126107,15.500000000000002,2398.0,0.0,1.81,16.50983374,16.51,43.63288301,848355.0,16342885.25,1.65,0.055999999999999994,0.066,0.066,0.134,0.21,2.67,2.582,0.444,0.102,0.018000000000000002,0.33,0.716,1.166,9.0
19,2008,United States,26.5,3907.0,4390.106117,12.28199821,4368.0,6.22245169,94.60071171,2.107576808,298.0,8136.0,0.3380000000000001,8.506,9.003541347,9.53,6.845540835,4342980.0,58277353.04,1.73,0.644,0.759,0.759,1.541,2.415,30.705,29.693,5.106,1.173,0.207,3.795,8.234,13.409,13.0
20,2009,China,31.9,3223.0,3714.651,0.0,3715.0,8.693872841000001,97.52314741,0.524562932,161.8,9211.679999999997,0.15999999999999998,13.595,17.863798199999994,17.86,13.91196227,3715061.0,56930962.32,0.74,0.4320000000000001,0.264,0.128,0.24,0.9359999999999999,8.943999999999997,8.648,2.7760000000000002,0.152,0.192,1.7919999999999998,2.792,4.92,10.0
21,2009,Germany,25.6,514.0,595.624,21.1252,596.0,4.068098366,13.15429711,0.833846835,4447.0,2938.0,3.806,1.875,16.07855368,16.87,9.63006157,589966.0,8118725.87,7.95,0.324,0.198,0.096,0.18,0.7020000000000001,6.7079999999999975,6.4860000000000015,2.0820000000000003,0.114,0.14400000000000002,1.344,2.094,3.69,11.0
22,2009,India,4.0,669.0,879.70725,0.0,917.0,5.6467119320000005,21.52434691,0.265121017,2.599999999999998,682.5,0.0,1.270999999999999,15.66005525,15.66,40.77082759,917302.0,17750414.76,2.06,0.10800000000000001,0.066,0.032,0.06,0.23399999999999999,2.236,2.162,0.6940000000000001,0.038,0.048,0.44799999999999995,0.698,1.23,12.0
23,2009,United States,15.1,3725.0,4206.493361,12.52409457,4188.0,6.084563271,89.92401795,2.3944839780000002,435.0,9645.0,0.44699999999999984,9.898000000000003,10.29184507,10.78,7.354404755,4165395.0,55341324.5,2.25,1.296,0.7919999999999999,0.384,0.72,2.8080000000000003,26.831999999999997,25.944000000000006,8.328000000000001,0.456,0.5760000000000001,5.376,8.376,14.76,11.0
24,2010,China,35.0,3626.0,4207.16,19.851860000000002,4208.0,8.679178537,104.2840024,0.768616625,607.0,12034.07,0.5,16.482,18.62282605,18.83,12.88431031,4197204.0,61093297.29,1.08,0.441,0.342,0.23399999999999999,0.477,0.954,13.698,13.536,5.481,0.171,0.4320000000000001,1.6829999999999998,2.88,5.156999999999999,13.0
25,2010,Germany,37.1,547.0,633.0930000000002,26.4293,633.0,4.115335557,13.70618966,0.905880564,7440.0,1171.0,7.411000000000001,1.4370000000000047,16.72707367,17.57,10.29351964,626583.0,8638160.04,8.19,0.245,0.19,0.13,0.265,0.53,7.6099999999999985,7.52,3.045,0.095,0.24,0.935,1.6,2.865,11.0
26,2010,India,6.4,727.0,937.4680375,0.0,979.0,5.3531792419999995,22.55470758,0.31827361,11.7,2259.0,0.0,2.1390000000000007,16.04374444,16.04,39.48150873,979416.0,18684425.28,2.02,0.147,0.114,0.078,0.159,0.318,4.566,4.512,1.827,0.057,0.14400000000000002,0.5609999999999999,0.96,1.719,11.0
27,2010,United States,27.2,3894.0,4394.2509850000015,13.46426351,4378.0,6.072479221,92.97258881,2.7566462489999997,852.0,4839.0,0.42400000000000015,5.111999999999996,10.12035515,10.61,7.505172055,4354363.0,57655200.55,2.75,1.1270000000000002,0.8740000000000001,0.5980000000000001,1.219,2.438,35.006,34.59200000000001,14.007,0.4370000000000001,1.104,4.301,7.36,13.179,11.0
28,2011,China,39.9,4052.0,4713.019,21.669,4716.0,8.502319501,112.54080829999998,1.049599256,2086.0,16721.122,2.5,20.446000000000005,16.76177043,16.95,11.69579699,4704861.0,65459079.1,1.55,0.48,0.43,0.26,0.24,0.99,18.96,18.75,7.51,0.29,0.020000000000000004,2.9600000000000004,4.23,7.5,12.0
29,2011,Germany,35.3,541.0,613.070326,25.3062,613.0,3.773036713,13.20216248,1.112391585,7910.0,1809.0,7.489999999999997,1.8459999999999963,20.38328272,21.14,11.39435591,607228.0,8211583.065,11.55,0.24,0.215,0.13,0.12,0.4950000000000001,9.48,9.375,3.755,0.145,0.010000000000000002,1.4800000000000002,2.115,3.75,12.0
30,2011,India,11.2,803.0,1034.011325,0.0,1075.0,5.232985711,23.88045003,0.39399554200000003,26.00000000000001,2995.0,0.0,3.019,17.31696286,17.32,38.93174021,1074536.0,19401668.04,2.36,0.096,0.086,0.052000000000000005,0.048,0.198,3.792,3.75,1.5019999999999998,0.057999999999999996,0.004,0.5920000000000001,0.846,1.5,12.0
31,2011,United States,45.3,3885.0,4363.377155,14.80104819,4349.0,5.90983675,92.08836192,3.090966438,1342.0,6541.0,1.92,6.738999999999997,12.22571352,12.69,8.164451646,4326635.0,57123701.65,3.43,1.008,0.903,0.546,0.504,2.079,39.816,39.375,15.770999999999999,0.609,0.042,6.216,8.883,15.75,12.0
32,2012,China,55.0,4326.0,4987.553,20.279889999999998,4994.0,8.190299441,117.04535020000002,1.356393533,3611.0,15242.273000000001,3.7,12.590999999999996,19.96624894,20.12,11.96856703,4984731.0,67426526.34,2.05,0.517,0.451,0.264,0.17600000000000002,0.418,18.711,18.392,7.689000000000001,0.33,0.044000000000000004,1.023,5.83,7.227,13.0
33,2012,Germany,26.3,540.0,630.149,26.1096,630.0,3.771810715,13.36885139,1.252520955,8160.0,2267.0,7.600000000000001,2.210000000000001,23.00045854,23.75,12.01513573,623718.0,8300447.226,12.56,0.235,0.205,0.12,0.08000000000000003,0.19,8.505,8.36,3.495000000000001,0.15000000000000002,0.020000000000000004,0.4650000000000001,2.6500000000000004,3.285,14.0
34,2012,India,6.5,839.0,1091.837883,0.0,1123.0,5.199643316,25.11341421,0.460993993,500.4,1120.7000000000007,0.0,2.3369999999999997,15.73297336,15.73,38.39089015,1123049.0,19869435.09,2.87,0.094,0.08199999999999999,0.048,0.032,0.076,3.402,3.344,1.3980000000000001,0.06,0.008,0.18600000000000005,1.06,1.314,13.0
35,2012,United States,35.0,3831.0,4310.5692020000015,14.50250746,4291.0,5.6929952460000015,89.68776503,3.325099805,3946.0,13399.0,3.37,13.088,12.00739706,12.41,8.481450407999999,4270884.0,56628804.85,4.06,1.034,0.902,0.528,0.35200000000000004,0.836,37.422,36.784,15.378000000000002,0.66,0.08800000000000001,2.0460000000000003,11.66,14.454,13.0
36,2013,China,61.2,4718.0,5431.635,22.9827266,5447.0,7.851333802999999,121.37465690000002,1.795909085,11040.0,15133.657,12.72,16.088000000000008,20.29622738,20.45,11.838166900000001,5436567.0,69906541.02,2.88,0.624,0.48,0.096,0.156,1.176,20.58,20.436,4.824,0.06,0.204,1.944,5.8439999999999985,8.04,15.0
37,2013,Germany,13.4,537.0,638.73,26.18,639.0,3.831755977,13.74595931,1.306625139,2634.0,2498.0,3.3100000000000023,2.9800000000000004,24.07254975,24.76,12.08907875,632945.0,8524131.747000001,13.24,0.26,0.2,0.04000000000000002,0.065,0.4900000000000001,8.575000000000001,8.515,2.01,0.025,0.085,0.81,2.4350000000000005,3.35,14.0
38,2013,India,4.6,890.0,1146.139133,0.0,1191.0,4.98862544,26.076945199999997,0.518092339,360.20000000000016,1120.7000000000007,0.0,1.7289999999999992,17.34931383,17.35,37.84984118,1193480.0,20586036.18,3.07,0.10400000000000001,0.08,0.016,0.026000000000000002,0.196,3.43,3.406,0.804,0.01,0.034,0.324,0.9740000000000001,1.34,14.0
39,2013,United States,29.1,3873.0,4330.292888,14.30566562,4306.0,5.676035631,92.09548018,3.756286027,5717.0,898.0,4.75,1.1030000000000015,12.63791912,13.03,8.713261572999999,4287114.0,57984073.56,4.84,1.1440000000000001,0.88,0.17600000000000002,0.28600000000000003,2.156,37.73,37.466,8.844000000000003,0.11,0.374,3.564,10.714,14.74,14.0
40,2014,China,86.69999999999996,4939.0,5794.4569999999985,26.14633,5679.0,7.104220001,124.19793290000001,2.238405372,10640.0,20088.600000000006,10.66,23.350999999999985,22.60915378,22.79,12.22382301,5665745.0,71536310.66,3.27,0.585,0.5589999999999999,0.13,0.221,1.937,29.692,29.237,4.771000000000001,0.5329999999999999,0.20800000000000002,1.456,9.347000000000001,11.544,17.0
41,2014,Germany,18.7,526.0,627.7651017999998,26.913,628.0,3.640399424,13.16627917,1.429576037,1189.0,5137.0,2.479999999999997,4.914999999999999,26.13009657,26.82,13.37887823,621938.0,8130876.006,15.22,0.225,0.215,0.05,0.085,0.7450000000000001,11.420000000000002,11.245,1.835,0.205,0.08000000000000003,0.5599999999999999,3.5950000000000006,4.44,15.0
42,2014,India,6.1,963.0,1262.2199679999999,0.2068,1294.0,4.960149499,27.86167507,0.5798712429999999,2746.508,4044.8999999999987,0.0,2.3150000000000013,16.25383982,16.25,36.65183786,1287398.0,21562801.38,3.27,0.135,0.129,0.03,0.051,0.447,6.852,6.747000000000001,1.101,0.12299999999999996,0.048,0.336,2.157,2.6639999999999997,15.0
43,2014,United States,31.7,3894.0,4363.326407000001,14.07183718,4339.0,5.621145713,93.05416796,4.039290073,4606.0,4259.0,6.24,4.768999999999991,12.95382709,13.36,8.754308953999999,4319156.0,59116385.16,5.34,0.99,0.946,0.22,0.374,3.278,50.24800000000001,49.478,8.074,0.902,0.35200000000000004,2.464,15.818,19.535999999999998,15.0
44,2015,China,118.0,5104.0,5814.573,26.783590000000004,5860.0,6.690069702000001,125.3768906,2.623551642,15150.000000000005,34228.599999999984,13.150000000000002,30.597000000000023,23.92681717,24.13,12.41335257,5844158.0,73183146.53,3.94,0.66,0.6149999999999999,0.21,0.27,1.7999999999999998,40.155,39.15,4.89,0.54,0.225,2.76,12.69,16.215,16.0
45,2015,Germany,14.0,528.0,648.1492806,27.13520869,647.0,3.603094155,13.39985761,1.659035721,1324.0,5966.0,1.4600000000000009,5.7760000000000025,29.23177012,29.88,14.2062527,640967.0,8327614.785,18.53,0.17600000000000002,0.16399999999999998,0.055999999999999994,0.07200000000000001,0.48,10.708,10.44,1.304,0.14400000000000002,0.06,0.736,3.384,4.324,16.0
46,2015,India,7.5,1032.0,1317.2981300000001,0.137685,1383.0,4.730910449,28.77081861,0.5973143329999999,1920.9760000000006,2622.8899999999994,0.0,2.623000000000001,15.34305035,15.34,36.02122257,1383004.0,22241457.76,3.5,0.132,0.12299999999999996,0.042,0.054000000000000006,0.36,8.030999999999999,7.83,0.978,0.108,0.045,0.5519999999999999,2.5380000000000003,3.2430000000000003,16.0
47,2015,United States,37.40000000000001,3895.0,4348.66944,14.75186233,4317.0,5.40839254,92.14900449,4.248824689,5791.0,8341.020000000004,7.350000000000001,8.112000000000009,13.22859321,13.63,8.716935867,4297048.0,58483061.91,5.86,1.056,0.9840000000000001,0.336,0.4320000000000001,2.88,64.24799999999999,62.64,7.824,0.8640000000000001,0.36,4.416,20.304,25.944000000000006,16.0
